roi,epoch,experiment,rho,p_value
V2,52,random_target_e10_l10,0.005650082916479717,6.517771730561454e-05
LO2,52,random_target_e10_l10,0.142877438901911,0.0
LO1,52,random_target_e10_l10,0.07104399656340879,0.0
V3,52,random_target_e10_l10,0.0022897138284699876,0.10560646775031754
FFC,52,random_target_e10_l10,0.13249698676753782,0.0
LO3,52,random_target_e10_l10,0.10285112056078365,0.0
V1,53,random_target_e10_l10,0.009541357461285965,1.5459367687873446e-11
PIT,53,random_target_e10_l10,0.0904625974509423,0.0
V2,53,random_target_e10_l10,0.006869768513257563,1.2021942515930604e-06
LO2,53,random_target_e10_l10,0.14004775507213643,0.0
LO1,53,random_target_e10_l10,0.07013065737255313,0.0
V3,53,random_target_e10_l10,0.00304791944861255,0.031230272394148394
FFC,53,random_target_e10_l10,0.13034714606935555,0.0
LO3,53,random_target_e10_l10,0.10109714065755303,0.0
V1,54,random_target_e10_l10,0.00849364614302723,1.936994585683299e-09
PIT,54,random_target_e10_l10,0.09253960865979532,0.0
V2,54,random_target_e10_l10,0.0060395620183561,1.9678507110581568e-05
LO2,54,random_target_e10_l10,0.14299020586552977,0.0
LO1,54,random_target_e10_l10,0.07088287487187744,0.0
V3,54,random_target_e10_l10,0.0024509755290281145,0.08323210058819966
FFC,54,random_target_e10_l10,0.1324421014679059,0.0
LO3,54,random_target_e10_l10,0.10258170760596132,0.0
V1,55,random_target_e10_l10,0.0073976911280175355,1.709833854500462e-07
PIT,55,random_target_e10_l10,0.08982648851408848,0.0
V2,55,random_target_e10_l10,0.004363783504673398,0.0020415203563073046
LO2,55,random_target_e10_l10,0.14047766868442915,0.0
LO1,55,random_target_e10_l10,0.06938746987320984,0.0
V3,55,random_target_e10_l10,0.0013434821245006828,0.3423621722326162
FFC,55,random_target_e10_l10,0.12922871425002963,0.0
LO3,55,random_target_e10_l10,0.10160104062141773,0.0
V1,56,random_target_e10_l10,0.0067739975120926135,1.6879861243684083e-06
PIT,56,random_target_e10_l10,0.08897906900074395,0.0
